matricola es01 es02 es03 es04 es05 es06 es07 es08 es09 es10 es11 media voto
2043542 6 SV 6 0 0 0 0 0 0 0 0 1.13 0.5
2045924 5.5 SV 6 0 6 0 0 0 0 0 4 2.10 1
2052822 5 SV 1 3 4 3 5 0 0 4.5 0 2.55 1.5
2067023 6 6 6 6 6 4 6 5.5 6 4 6 5.59 3
2067024 6 6 6 6 6 6 5.5 5.5 6 6 6 5.91 3
2067025 3 6 6 6 0 6 5.5 5.5 6 6 0 4.56 2.5
2067026 6 SV 5.5 6 6 5.5 5.5 5.5 0 6 6 5.17 2.5
2067027 6 6 6 6 4 6 5.5 4.5 6 6 6 5.64 3
2067028 6 6 6 6 6 5.5 5.5 5.5 6 4.5 0 5.18 2.5
2067029 6 SV 3 6 6 0 5.5 5.5 6 6 4.5 4.85 2.5
2067030 6 6 6 6 6 4 6 0 5 6 6 5.21 2.5
2070629 6 6 5.5 6 6 6 5.5 5.5 6 6 5.5 5.82 3
2075423 6 SV 0 6 6 6 5.5 5.5 0 4.5 0 3.94 2
2075424 6 SV 5.5 6 6 6 5.5 5.5 6 6 6 5.86 3
2075425 3 SV 0 0 0 0 0 0 0 0 0 0.28 0
2075426 4 6 6 6 4 0 5.5 5.5 0 5.5 5.5 4.34 2
2075429 6 6 0 6 6 6 5.5 5.5 6 6 6 5.40 2.5
2075430 6 6 6 6 6 6 5.5 5.5 6 4.5 6 5.78 3
2075431 3 SV 3.5 6 6 6 0 5 6 6 0 4.18 2
2075432 6 6 6 6 6 6 5.5 4.5 6 4.5 5.5 5.64 3
2076272 6 6 6 0 0 6 0 6 0 6 6 3.77 2
2076273 1 SV 3 6 4 0 5.5 5.5 5.5 5.5 3.5 3.97 2
2076274 6 6 6 6 6 6 5.5 5.5 6 6 6 5.91 3
2076275 6 SV 3 6 6 0 0 0 0 0 0 2.09 1
2076276 3 SV 6 0 6 6 5.5 5.5 6 6 6 4.99 2.5
2076282 6 6 5.5 6 6 6 5.5 5.5 5 6 6 5.77 3
2076283 6 6 6 6 6 6 5.5 5.5 6 6 6 5.91 3
2076284 6 6 6 6 6 6 5.5 5.5 6 4.5 5 5.68 3
2076287 5.5 6 6 6 6 6 5.5 5.5 6 6 6 5.87 3
2076288 4.5 SV 6 6 0 0 0 5.5 0 6 4 3.15 1.5
2077577 6 6 5.5 6 6 0 5.5 5.5 0 0 6 4.20 2
2077578 3 SV 0 0 0 0 0 0 0 0 0 0.28 0
2077579 5 6 6 0 6 0 0 0 0 0 6 2.62 1.5
2077580 3 SV 3.5 5.5 6 0 0 5 6 6 0 3.51 2
2077581 6 SV 3.5 6 0 0 0 0 0 6 0 2.13 1
2077582 5.5 6 6 6 6 6 5.5 5.5 6 4.5 6 5.73 3
2077583 6 SV 0 2 3.5 0 0 0 0 0 0 1.13 0.5
2077587 5 SV 0 0 0 6 0 0 0 0 0 1.09 0.5
2077986 0 SV 6 6 0 0 0 0 0 5.5 6 2.35 1
2079184 6 SV 6 6 4 6 5.5 1.5 0 6 6 4.68 2.5
2079185 6 SV 6 0 6 6 5.5 0 6 5.5 0 4.10 2
2080004 5.5 6 6 6 6 4.5 6 5 5.5 6 6 5.69 3
2080788 6 6 0 0 0 0 0 0 0 0 0 1.10 0.5
2081596 5 SV 3.5 6 6 6 0 0 6 0 5.5 3.85 2
2090346 0 SV 0 0 0 0 0 0 6 6 0 1.24 0.5
2090347 5.5 SV 3 0 0 0 0 0 0 0 0 0.80 0.5
