matricola es01 es02 es03 es04 es05 es06 es07 es08 es09 es10 es11 media voto
2035583 0 SV 0 0 0 0 0 0 0 0 0 0.00 0
2046025 0 6 0 0 0 0 0 0 0 0 0 0.60 0.5
2067004 6 SV 5.5 6 6 6 5.5 6 6 6 5.5 5.85 3
2067005 6 6 6 6 6 4 6 5.5 5 6 6 5.71 3
2067007 2 SV 3.5 6 2 6 5.5 6 6 4.5 4 4.53 2.5
2067008 6 SV 4 6 0 4 4.5 0 0 6 5.5 3.60 2
2067009 6 6 6 6 6 4.5 6 5.5 6 6 6 5.84 3
2067010 6 SV 4.5 5.5 0 0 0 0 0 0 0 1.62 1
2067011 6 SV 0 0 6 3.5 5.5 5.5 3 4.5 0 3.41 1.5
2067012 6 6 6 6 6 0 5.5 5 6 6 6 5.42 2.5
2067013 0 SV 4.5 6 6 0 6 6 6 6 6 4.76 2.5
2067014 6 SV 6 0 3.5 0 5.5 5 0 4.5 6 3.67 2
2067016 6 SV 6 6 4 0 0 0 0 0 0 2.23 1
2067017 6 6 5 6 6 2 5.5 5.5 6 6 5.5 5.49 2.5
2067018 6 6 6 6 6 6 6 6 6 4.5 4 5.67 3
2067019 6 6 6 6 6 6 6 5.5 6 6 6 5.95 3
2067020 6 SV 4 6 0 4 0 0 0 0 0 1.96 1
2067022 6 6 0 6 6 4 6 4.5 6 5.5 5.5 5.14 2.5
2069882 2 SV 0 0 0 0 0 0 0 0 0 0.21 0
2072942 6 6 4.5 6 0 2 6 0 6 5.5 5.5 4.38 2
2075404 6 SV 4 6 0 4 4.5 0 0 5.5 0 2.98 1.5
2075405 5 SV 6 6 6 0 6 5 6 5.5 6 5.25 2.5
2075408 5 6 6 6 6 6 5.5 6 6 6 5.5 5.82 3
2075410 6 6 5.5 6 0 3.5 6 5.5 6 6 5.5 5.11 2.5
2075412 6 6 0 6 6 6 6 5 6 0 6 4.87 2.5
2075415 6 SV 4.5 6 0 4 5.5 0 0 0 0 2.56 1.5
2075416 6 SV 6 6 6 0 5.5 5.5 6 0 0 4.16 2
2075417 6 6 6 6 6 6 6 5.5 6 5.5 5.5 5.86 3
2075421 5 6 0 6 6 0 0 0 0 0 0 2.22 1
2076247 5 SV SV SV SV 5 5.5 5.5 6 5.5 0 4.61 2.5
2076248 5 6 0 5.5 6 5.5 0 0 0 6 0 3.14 1.5
2076250 6 SV 2.5 5.5 6 3.5 6 0 0 0 0 2.96 1.5
2076251 6 SV 6 6 6 0 5.5 5.5 6 4.5 0 4.63 2.5
2076253 6 SV 2 5.5 0 0 5.5 0 0 0 0 1.95 1
2076254 6 SV 6 6 6 6 5.5 5 5 5 0 5.02 2.5
2076255 5.5 SV 4.5 5.5 6 4 5 5.5 3 4 6 4.93 2.5
2076256 6 SV 0 0 6 5 5.5 5.5 3 4.5 0 3.53 2
2076257 6 SV 2 6 6 0 5.5 5.5 6 6 5 4.94 2.5
2076258 5 SV 4 0 0 0 4.5 0 5 5.5 5.5 2.98 1.5
2076260 0 SV 3.5 0 0 0 0 0 0 0 0 0.31 0
2076264 6 SV 6 5.5 6 4 5.5 6 6 0 6 5.11 2.5
2076266 0 6 0 0 6 0 0 6 0 0 0 1.71 1
2076267 6 SV 0 0 0 0 0 0 0 0 0 0.62 0.5
2076268 6 SV 4.5 6 0 4 4.5 0 0 5.5 5.5 3.60 2
2076279 1 SV 1 5 0 0 0 0 0 0 0 0.74 0.5
2077474 5.5 SV 4.5 6 6 0 4.5 0 6 6 0 3.94 2
2077558 SV SV 6 6 6 4 6 5.5 6 6 6 5.76 3
2077560 6 6 6 6 6 6 5.5 6 6 5 0 5.30 2.5
2077564 6 6 4 6 6 5 6 5 6 6 6 5.68 3
2077566 6 SV 5 5.5 6 4 5.5 5.5 6 6 6 5.59 3
2077567 4 SV 0 6 0 3.5 0 5.5 6 6 0 3.14 1.5
2077568 6 SV 6 5.5 6 4 5.5 5.5 6 6 6 5.68 3
2077569 5.5 6 6 6 6 4 6 5.5 6 0 5.5 5.16 2.5
2077570 5.5 SV 4.5 6 6 6 5.5 5.5 6 6 6 5.71 3
2077573 6 6 6 6 5 4 5.5 6 6 6 6 5.71 3
2079178 6 6 6 6 6 3 6 5.5 6 6 5.5 5.69 3
2079180 5 6 2 6 4 4.5 2 0 3 0 0 2.98 1.5
2079182 0 6 6 0 0 0 5.5 0 0 0 0 1.58 1
2079183 0 SV 0 6 0 4 0 0 0 0 0 0.98 0.5
2080757 0 SV 4.5 6 0 4 0 0 0 0 0 1.39 0.5
2080786 5 SV 3.5 6 6 2.5 3 1 3 0 5 3.55 2
2081581 6 6 0 5.5 4 0 0 0 0 0 0 2.08 1
2089793 6 SV 4 6 6 0 0 5.5 0 5.5 6 4.01 2
